,close,high,low,p_change,open,pre_close,volume,date,date_week,key,atr21,atr14
2014-11-04,238.93,242.35,236.53,-1.51,240.49,242.59,3682572,20141104,1,73,10.813345810754681,10.706348850392953
2014-11-05,230.97,241.36,230.53,-3.33,241.0,238.93,9045925,20141105,2,74,10.872710295956841,10.80303821822203
2014-11-06,241.22,246.69,228.5,4.44,234.49,230.97,15354720,20141106,3,75,11.221152662816039,11.330678345491883
2014-11-07,240.2,242.84,237.2,-0.42,242.19,241.22,5161023,20141107,4,76,11.252050155062893,11.369201320813895
2014-11-10,241.93,242.88,236.8,0.72,239.11,240.2,4577208,20141110,0,77,11.005762052440849,10.991401226470044
2014-11-11,251.08,251.82,242.0,3.78,242.55,241.93,7952565,20141111,1,78,11.035011478515095,11.036301138865044
2014-11-12,249.1,252.34,245.58,-0.79,249.72,251.08,5870818,20141112,2,79,11.005249027157236,10.991565343231823
2014-11-13,251.7,255.75,250.25,1.04,250.62,249.1,6236036,20141113,3,80,10.74309431157832,10.599310675858124
2014-11-14,258.68,258.85,248.5,2.77,250.0,251.7,6101145,20141114,4,81,10.724375534836494,10.581502770439686
2014-11-17,253.98,259.0,252.02,-1.82,257.49,258.68,4025695,20141117,0,82,10.561310033177612,10.347109715408278
2014-11-18,257.7,259.99,255.51,1.46,255.86,253.98,4474294,20141118,1,83,10.271723841121538,9.928030450021977
2014-11-19,247.74,251.88,245.6,-3.87,250.61,257.7,7918486,20141119,2,84,10.181641753449084,9.817456846448977
2014-11-20,248.71,250.93,246.0,0.39,247.95,247.74,3587220,20141120,3,85,10.253944527094367,9.951924214559766
2014-11-21,242.78,252.78,242.17,-2.38,252.21,248.71,7485059,20141121,4,86,10.270899549613683,9.998929627805497
2014-11-24,246.72,247.6,240.64,1.62,245.2,242.78,4789708,20141124,0,87,10.166094809155892,9.861148940105107
2014-11-25,248.09,249.72,246.09,0.56,247.35,246.72,3159804,20141125,1,88,10.012471246815137,9.652495444383314
2014-11-26,248.44,249.0,246.6,0.14,248.34,248.09,1981819,20141126,2,89,9.649972616014416,9.134460055498794
2014-11-28,244.52,246.69,242.52,-1.58,245.35,248.44,2119688,20141128,4,90,9.455688205728013,8.879855765820306
2014-12-01,231.64,242.47,229.01,-5.27,241.16,244.52,8619351,20141201,0,91,9.93065543402668,9.63343749683314
2014-12-02,231.43,234.88,228.0,-0.09,234.57,231.64,5887046,20141202,1,92,10.244433746692078,10.125334818487918
2014-12-03,229.3,229.72,225.5,-0.92,226.25,231.43,5307733,20141203,2,93,10.048984520659122,9.840668045738779
2014-12-04,228.28,230.9,227.81,-0.44,228.6,229.3,3879208,20141204,3,94,9.742842400627735,9.396334613900297
2014-12-05,223.71,229.389,222.26,-2.0,228.67,228.28,6063619,20141205,4,95,9.61837371488356,9.234382141478847
2014-12-08,214.36,224.86,212.34,-4.18,221.54,223.71,9225619,20141208,0,96,9.91940353798434,9.713354845658928
2014-12-09,216.89,217.729,204.27,1.18,209.34,214.36,9431502,20141209,1,97,10.372765274270805,10.408115213826148
2014-12-10,209.84,216.77,207.7,-3.25,214.13,216.89,7314139,20141210,2,98,10.310728832638864,10.312535555695712
2014-12-11,208.88,215.43,208.23,-0.46,210.53,209.84,6694398,20141211,3,99,10.232122697751297,10.194497301717448
2014-12-12,207.0,211.68,204.5,-0.9,204.82,208.88,7173782,20141212,4,100,10.086783521667902,9.979176065880486
2014-12-15,204.04,209.8,202.67,-1.43,209.29,207.0,5218252,20141215,0,101,9.945984306350383,9.775663489746167
2014-12-16,197.81,203.68,195.37,-3.05,200.89,204.04,8426105,20141216,1,102,10.026175529857507,9.90811609762144
2014-12-17,205.82,206.65,192.65,4.05,193.06,197.81,7367834,20141217,2,103,10.215405266530961,10.20039351921991
2014-12-18,218.26,218.44,211.8,6.04,212.38,205.82,7483349,20141218,3,104,10.711338349077103,10.945365410704202
2014-12-19,219.29,220.4,214.5,0.47,220.19,218.26,6910461,20141219,4,105,10.895560332454384,11.204982167082477
2014-12-22,222.6,224.06,218.26,1.51,220.0,219.29,4806917,20141222,0,106,10.652914602337509,10.818912012290868
2014-12-23,220.97,224.315,219.52,-0.73,223.81,222.6,4513321,20141223,1,107,10.384918668892867,10.405061154270095
2014-12-24,222.26,222.5,219.25,0.58,219.77,220.97,1333518,20141224,2,108,10.049922541802731,9.901128214679376
2014-12-26,227.82,228.5,221.5,2.5,221.51,222.26,3327016,20141226,4,109,9.929926230288313,9.731761913630848
2014-12-29,225.71,227.91,224.02,-0.93,226.9,227.82,2811828,20141229,0,110,9.726120219322203,9.440207491228644
2014-12-30,222.23,225.65,221.4,-1.54,223.99,225.71,2903242,20141230,1,111,9.568685923164002,9.224478384712313
2014-12-31,222.41,225.68,222.25,0.08,223.09,222.23,2402097,20141231,2,112,9.27779611729905,8.812729928661437
2015-01-02,219.31,223.25,213.26,-1.39,222.87,222.41,4764443,20150102,4,113,9.311710587903857,8.89682064804276
2015-01-05,210.09,216.5,207.16,-4.2,214.55,219.31,5368477,20150105,0,114,9.59448627419415,9.350619173182565
2015-01-06,211.28,214.2,204.21,0.57,210.06,210.09,6261936,20150106,1,115,9.856653594470618,9.761289232240953
2015-01-07,210.95,214.78,209.78,-0.16,213.35,211.28,2968390,20150107,2,116,9.625384375686307,9.421197144223742
2015-01-08,210.615,213.8,210.01,-0.16,212.81,210.95,3442509,20150108,3,117,9.347508929225055,9.018968776779193
2015-01-09,206.66,209.98,204.96,-1.88,208.92,210.615,4668295,20150109,4,118,9.187627551642908,8.802613864152105
2015-01-12,202.21,204.47,199.25,-2.15,203.05,206.66,5950280,20150112,0,119,9.291311953945627,8.985641445284099
2015-01-13,204.25,207.61,200.91,1.01,203.32,202.21,4477320,20150113,1,120,9.167916146614884,8.822381342049521
2015-01-14,192.69,195.2,185.0,-5.66,185.83,204.25,11551860,20150114,2,121,9.550872520585603,9.421496960474556
2015-01-15,191.87,195.75,190.0,-0.43,194.49,192.69,5216524,20150115,3,122,9.774640495795813,9.766390034726372
2015-01-16,193.07,194.49,189.65,0.63,190.7,191.87,3603158,20150116,4,123,9.539657615043627,9.414505032245918
2015-01-20,191.93,194.12,187.04,-0.59,193.87,193.07,4503182,20150120,1,124,9.422531061946314,9.247754672799783
2015-01-21,196.57,198.68,189.51,2.42,189.55,191.93,4153043,20150121,2,125,9.410505773282203,9.242200767599801
2015-01-22,201.62,203.24,195.2,2.57,197.0,196.57,4116904,20150122,3,126,9.500957879316383,9.389900712771242
2015-01-23,201.29,203.5,198.33,-0.16,200.29,201.62,3442371,20150123,4,127,9.378531313634651,9.214193519001867
2015-01-26,206.55,208.62,201.05,2.61,201.83,201.29,3234522,20150126,0,128,9.292410774890145,9.096751124787447
2015-01-27,205.98,208.03,203.3,-0.28,204.42,206.55,2781024,20150127,1,129,9.17086740465728,8.928411758731203
2015-01-28,199.37,206.368,198.42,-3.21,206.11,205.98,3149606,20150128,2,130,9.121302290149792,8.871382347393261
2015-01-29,205.2,205.98,196.5,2.92,201.07,199.37,3548106,20150129,3,131,9.138383133475992,8.914855036865172
2015-01-30,203.6,207.47,203.0,-0.78,203.96,205.2,3006959,20150130,4,132,9.088936317596184,8.856651105660516
2015-02-02,210.94,211.95,203.3,3.61,203.97,203.6,4149186,20150202,0,133,9.06803458818684,8.841890312399046
2015-02-03,218.36,220.37,211.27,3.52,213.22,210.94,4826244,20150203,1,134,9.434794845892227,9.408183861513406
2015-02-04,218.55,221.479,216.8,0.09,218.29,218.36,3305377,20150204,2,135,9.487376043706883,9.488956442833876
2015-02-05,220.99,225.48,219.638,1.12,219.88,218.55,3522947,20150205,3,136,9.374643851149413,9.31974526834574
2015-02-06,217.36,223.4,216.5,-1.64,222.0,220.99,3243931,20150206,4,137,9.256803667761346,9.14690632060676
2015-02-09,217.48,217.93,211.99,0.06,215.38,217.36,3472423,20150209,0,138,9.244574921677472,9.136413011991992
2015-02-10,216.29,220.5,215.0,-0.55,217.55,217.48,5390542,20150210,1,139,9.06626183016902,8.876669225421137
2015-02-11,212.8,214.74,207.28,-1.61,212.21,216.29,9769102,20150211,2,140,9.120249362065733,8.97119285217677
2015-02-12,202.88,203.088,193.28,-4.66,193.57,212.8,15649610,20150212,3,141,9.781666059110224,9.973964791306996
2015-02-13,203.77,205.99,200.91,0.44,202.9,202.88,6191003,20150213,4,142,9.882062913438308,10.110824449070783
2015-02-17,204.35,205.7,201.5,0.28,205.7,203.77,3979647,20150217,1,143,9.611488488988863,9.688622702708583
2015-02-18,204.46,206.17,202.6,0.05,204.17,204.35,2713598,20150218,2,144,9.323798560941773,9.251578223943683
2015-02-19,211.705,212.44,203.75,3.54,205.0,204.46,5154148,20150219,3,145,9.293617677087402,9.211465493661994
2015-02-20,217.11,217.6,209.81,2.55,210.78,211.705,5982089,20150220,4,146,9.47677874008324,9.492075101257566
2015-02-23,207.335,218.2,206.33,-4.5,215.66,217.11,8499775,20150223,0,147,9.590741657222132,9.661926879739168
